Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,15.050000,15.250000,11.550000,12.850000,12.850000,18550500
2017-02-01,12.950000,14.700000,12.750000,13.900000,13.900000,17014800
2017-03-01,14.100000,15.150000,13.550000,13.950000,13.950000,15696700
2017-04-01,14.050000,14.150000,10.750000,11.300000,11.300000,24653400
2017-05-01,11.400000,12.550000,11.300000,11.800000,11.800000,14474200
2017-06-01,11.800000,13.900000,11.750000,12.800000,12.800000,9965900
2017-07-01,12.800000,13.250000,12.350000,12.800000,12.800000,5953300
2017-08-01,12.800000,12.800000,6.900000,7.750000,7.750000,28721400
2017-09-01,7.750000,8.950000,7.400000,8.500000,8.500000,9541000
2017-10-01,8.550000,9.150000,8.230000,8.750000,8.750000,8568300
2017-11-01,8.750000,8.750000,7.200000,7.750000,7.750000,12776300
2017-12-01,7.800000,8.450000,7.350000,8.150000,8.150000,6121900
2018-01-01,8.200000,9.150000,8.100000,8.900000,8.900000,5448100
2018-02-01,8.850000,12.200000,8.000000,11.200000,11.200000,17649100
2018-03-01,11.150000,11.900000,10.250000,10.750000,10.750000,11967900
2018-04-01,10.700000,11.650000,9.700000,11.200000,11.200000,10080300
2018-05-01,11.150000,12.750000,10.900000,12.050000,12.050000,12828300
2018-06-01,12.100000,13.900000,12.100000,12.900000,12.900000,11666000
2018-07-01,12.850000,15.050000,12.250000,12.850000,12.850000,16585800
2018-08-01,13.600000,18.750000,13.600000,18.600000,18.600000,42950700
2018-09-01,18.650000,20.950001,18.500000,20.400000,20.400000,26061000
2018-10-01,20.430000,20.440001,17.719999,18.410000,18.410000,23356800
2018-11-01,18.500000,19.100000,13.010000,13.520000,13.520000,24307300
2018-12-01,13.850000,13.870000,10.460000,11.630000,11.630000,16829000
2019-01-01,11.460000,13.300000,11.110000,13.080000,13.080000,9875000
2019-02-01,13.060000,15.160000,12.120000,13.510000,13.510000,13108100
2019-03-01,13.630000,13.760000,11.280000,11.670000,11.670000,13259800
2019-04-01,11.760000,12.160000,10.540000,11.210000,11.210000,11156200
2019-05-01,11.230000,11.550000,9.380000,9.700000,9.700000,19972700
2019-06-01,9.680000,10.350000,8.980000,9.720000,9.720000,13336000
2019-07-01,9.880000,12.950000,9.620000,12.390000,12.390000,14644500
2019-08-01,12.500000,12.700000,6.390000,6.540000,6.540000,26924800
2019-09-01,6.570000,8.740000,6.410000,7.430000,7.430000,22041500
2019-10-01,7.470000,10.280000,6.460000,10.260000,10.260000,19361900
2019-11-01,10.330000,11.900000,10.180000,11.380000,11.380000,14771600
2019-12-01,11.350000,12.470000,10.730000,11.860000,11.860000,11516500
2020-01-01,11.990000,12.600000,9.220000,9.710000,9.710000,12244500
2020-02-01,9.760000,18.129999,9.530000,15.530000,15.530000,35754400
2020-03-01,15.610000,16.090000,8.250000,12.350000,12.350000,25758200
2020-04-01,11.780000,13.700000,10.120000,12.590000,12.590000,16659100
2020-05-01,12.130000,12.270000,9.350000,11.360000,11.360000,13374200
2020-06-01,11.420000,13.570000,9.920000,10.910000,10.910000,17165500
2020-07-01,10.990000,12.110000,10.140000,11.890000,11.890000,9581500
2020-08-01,11.940000,13.350000,10.580000,11.660000,11.660000,10424900
2020-09-01,11.600000,12.290000,10.120000,10.670000,10.670000,13021200
2020-10-01,10.780000,13.420000,10.350000,13.140000,13.140000,13869000
2020-11-01,13.340000,15.040000,12.960000,14.580000,14.580000,11223500
2020-12-01,14.780000,19.840000,14.430000,19.680000,19.680000,11952300
2021-01-01,19.780001,26.190001,18.930000,23.889999,23.889999,13253200
2021-02-01,24.000000,26.840000,21.260000,24.549999,24.549999,10984300
2021-03-01,24.840000,27.910000,23.100000,25.420000,25.420000,10813200
2021-04-01,25.540001,26.580000,23.459999,24.000000,24.000000,7355500
2021-05-01,24.260000,26.030001,21.920000,25.709999,25.709999,8546100
2021-06-01,25.830000,28.600000,23.850000,25.309999,25.309999,12655000
2021-07-01,25.680000,25.700001,20.540001,22.350000,22.350000,6792800
2021-08-01,22.410000,25.280001,21.670000,24.209999,24.209999,5984300
2021-09-01,24.350000,26.459999,22.540001,25.139999,25.139999,5211700
2021-10-01,25.250000,27.299999,23.900000,25.570000,25.570000,3722200
2021-11-01,25.540001,26.650000,17.910000,18.160000,18.160000,8969400
2021-12-01,18.650000,21.070000,17.760000,20.570000,20.570000,6003100
