Date,Open,High,Low,Close,Adj Close,Volume
2017-01-01,73.529999,79.470001,72.470001,75.540001,64.475494,122395500
2017-02-01,76.059998,77.379997,74.519997,76.620003,65.812469,94496100
2017-03-01,77.129997,82.440002,76.680000,80.559998,69.196716,112897000
2017-04-01,80.870003,82.919998,77.830002,79.180000,68.011360,96714300
2017-05-01,79.250000,83.239998,78.400002,82.489998,71.293953,94249900
2017-06-01,82.610001,84.650002,75.919998,76.930000,66.488609,101739900
2017-07-01,77.449997,84.239998,76.190002,81.379997,70.334633,91177200
2017-08-01,81.599998,83.690002,79.599998,82.820000,72.015472,86115700
2017-09-01,82.739998,89.889999,81.250000,89.639999,77.945755,88149600
2017-10-01,89.879997,97.559998,89.309998,96.690002,84.076019,90725800
2017-11-01,96.970001,99.790001,95.599998,97.290001,85.139160,76125500
2017-12-01,96.540001,105.330002,94.720001,104.440002,91.396179,95800400
2018-01-01,105.110001,120.750000,104.500000,109.669998,95.972977,147031800
2018-02-01,108.750000,110.750000,96.989998,108.349998,95.342590,132090100
2018-03-01,108.930000,113.000000,101.339996,103.889999,91.417999,112656900
2018-04-01,102.860001,105.900002,97.389999,101.430000,89.253326,122932800
2018-05-01,101.099998,112.879997,100.349998,111.910004,98.475197,95601200
2018-06-01,112.550003,118.480003,107.449997,110.250000,97.598564,92532000
2018-07-01,108.940002,116.949997,108.379997,111.320000,98.545792,91660500
2018-08-01,111.160004,116.610001,107.010002,112.400002,100.052757,95140300
2018-09-01,111.019997,112.949997,102.250000,107.290001,95.504097,118097600
2018-10-01,107.669998,109.849998,87.900002,92.830002,82.632545,219573700
2018-11-01,93.379997,99.889999,92.910004,99.849998,89.646835,139458800
2018-12-01,102.500000,102.580002,87.699997,94.500000,84.843521,141974400
2019-01-01,92.760002,104.870003,88.680000,100.680000,90.392036,157815800
2019-02-01,100.550003,109.489998,100.260002,105.779999,95.697937,97531500
2019-03-01,106.860001,112.980003,103.349998,106.070000,95.960297,99687700
2019-04-01,107.989998,119.320000,106.930000,117.830002,106.599449,109052000
2019-05-01,118.059998,118.919998,101.570000,104.309998,94.368050,105527900
2019-06-01,105.040001,116.830002,104.589996,114.760002,104.507133,89525100
2019-07-01,117.599998,130.369995,114.370003,125.010002,113.841370,108432000
2019-08-01,125.599998,128.729996,116.220001,123.750000,113.365570,105101900
2019-09-01,123.050003,130.919998,120.669998,129.240005,118.394897,78844200
2019-10-01,130.000000,132.199997,115.870003,117.989998,108.088913,113400500
2019-11-01,119.190002,121.860001,114.589996,120.209999,110.952782,90726000
2019-12-01,120.120003,129.169998,116.059998,128.289993,118.410538,82445500
2020-01-01,129.130005,135.699997,119.959999,120.650002,111.358894,111666800
2020-02-01,121.059998,134.300003,108.610001,114.139999,106.111237,94075700
2020-03-01,115.160004,120.120003,93.089996,99.930000,92.900787,222491900
2020-04-01,96.099998,119.809998,96.070000,116.070000,107.905487,139932100
2020-05-01,112.379997,119.260002,105.449997,118.739998,110.387650,92440600
2020-06-01,117.769997,135.679993,116.830002,126.970001,118.961182,116394100
2020-07-01,126.599998,137.649994,124.669998,127.550003,119.504593,108065300
2020-08-01,128.149994,143.589996,127.680000,142.149994,134.100494,73628000
2020-09-01,143.000000,148.369995,134.119995,142.789993,134.704254,92925000
2020-10-01,145.440002,155.880005,140.839996,144.589996,136.402313,92037700
2020-11-01,146.460007,164.630005,144.220001,161.250000,153.211792,75465900
2020-12-01,162.630005,167.240005,159.559998,164.130005,155.948181,86537300
2021-01-01,164.600006,175.470001,160.759995,165.690002,157.430435,94392400
2021-02-01,167.360001,181.800003,167.020004,172.270004,164.674973,86067500
2021-03-01,174.500000,190.449997,161.669998,188.990005,180.657822,120360600
2021-04-01,191.110001,197.580002,179.130005,180.509995,172.551682,94346700
2021-05-01,181.490005,191.029999,175.000000,189.820007,182.452759,95594300
2021-06-01,191.380005,193.009995,182.500000,192.300003,184.836502,74938900
2021-07-01,192.020004,194.250000,182.160004,190.619995,183.221664,87628100
2021-08-01,192.399994,193.899994,181.960007,190.910004,184.523849,69264700
2021-09-01,191.779999,200.919998,187.119995,192.210007,185.780380,68768700
2021-10-01,193.429993,202.259995,183.550003,187.479996,181.208572,83267200
2021-11-01,186.729996,196.910004,186.080002,192.369995,187.080170,93764400
2021-12-01,195.729996,199.899994,182.770004,188.470001,183.287415,101090700
